description,date_announced,country,type,compliance,
"Iceland sets ut guidelines for restaurants and tour operators from March 14. Restaurants were asked to re-arrange their seating to at least two meters between seats, asking that only families and other groups in regular close contact would be seated together, that menus would be washed between each use, and that hand sanitation be available at entry and encourage guests to use them. Tour operators have been asked to offer hand sanitiser at every entry point and encourage passengers to use them, to use back doors if available, make sure that passengers embark and disembark with enough space in between each, and skip using every other row to ensure proper space between passengers.",3/14/20,Iceland,Restriction and Regulation of Businesses,Mandatory,
"Iceland government announced that from March 24 to April 12 grocery stores and drug stores are allowed to have maximum 100  people in the stores, as long as a distance of 2 meters between people can be ensured.",3/22/20,Iceland,Restriction and Regulation of Businesses,Mandatory,
"Iceland ordered the closure of swimming pools, gyms, bars, clubs, slot machines and museums starting on March 23. Operations and services that require close contact between individuals or risk close contact are also prohibited. This includes sports clubs, hairdressers, beauty salons, and massage parlours.",3/23/20,Iceland,Restriction and Regulation of Businesses,Mandatory,
Iceland allows bars and restaurants to be open but they must close by 11pm from May 25.,5/25/20,Iceland,Restriction and Regulation of Businesses,Mandatory,
Iceland announce that from August 5 the number of people allowed at swimming pools and bathing places is reverted back to the ruling from earlier this summer. That means that the number of guests may never exceed half of the maximum number of guests allowed under the operating license. Children born in 2015 and later are not included in this number. This is valid until August 13.,8/5/20,Iceland,Restriction and Regulation of Businesses,Mandatory,
"Iceland announced that From august 5 Supermarkets over a thousand square meters in size may allow a maximum of 200 customers in total. Smaller supermarkets may accommodate up to 100 people at a time, provided that the conditions for distance limits are met. The changes are valid until August 13th.
",8/5/20,Iceland,Restriction and Regulation of Businesses,Mandatory,
Icelands parliament will only address Covid-19 related matters from March 20 to April 20. All meetings related to matters that do not concern COVID-19 will be postponed until later in the year.,3/19/20,Iceland,Restriction and Regulation of Government Services,Mandatory,
The Icelandic government announced a ban on gatherings of more than 100 entering into force on the 16th of March.,3/13/20,Iceland,Restrictions of Mass Gatherings,Mandatory,
"Iceland cancels a number of events and festivities over Merchant ""s weekend that takes place August 4 to August 6. This as a response to the new COVID-19 restrictions in Iceland, such as Einnar me_ allur in Akureyri, S ""ludaga in Vatnask ""gur and Innip ""kinn in Reykjav ""k. Pride, the Skjaldborg Festival in Patreksfj ""r_ur and _j ""_h ""t ""_, the annual outdoor festival held in Vestmannaeyjar, have likewise been canceled.",7/31/20,Iceland,Restrictions of Mass Gatherings,Mandatory,
Iceland announced that from August 5 to August 13  there will be no permits given for any sort of entertainment gatherings/events which can be expected to attract groups of people after 23:00.,8/5/20,Iceland,Restrictions of Mass Gatherings,Mandatory,
Iceland announces that people will have to keep a distance of 2 meters in common areas starting from the 24th of March,3/22/20,Iceland,Social Distancing,Mandatory,
Iceland allows visitors in nursing homes again starting at may 4th. Only one person will be allowed to visit at a time.,4/17/20,Iceland,Social Distancing,Voluntary,
"Iceland announce that from July 31 wearing masks will be mandatory on public transport, including planes and ferries. This is expected to be in place until August 13th.",7/30/20,Iceland,Social Distancing,Mandatory,
A wave of misinformation and rumour on Covid-19 making rounds among the public in India on 10th March which had forced the Indian Government to issue an advisory.,3/10/20,India,Anti-Disinformation Measures,Voluntary,
"Ministry of Home Affairs issues guidelines on the measures to be taken by Ministries/ Departments of Government of India, State/Union Territory Authorities for containment of COIVD-19 Epidemic in the country.",3/24/20,India,Closure and Regulation of Schools,Mandatory,
Schools and colleges to remain closed in India till July 31,6/30/20,India,Closure and Regulation of Schools,Mandatory,
India announced a curfew of 21 days which came into effect on 25th March 2020. This was further extended to last until 3rd May 2020. The policy will be applicable across all parts of India.,3/24/20,India,Curfew,Mandatory,
"India issues another travel advisory  "" 
""Indian travelers are hereby advised to REFRAIN FROM TRAVELING TO CHINA.
Those planning a visit to India from China:
o Existing visas (including eVisa already issued) are no longer valid for any foreign national travelling from China.
o People traveling to China henceforth will be quarantined on return. """,2/5/20,India,External Border Restrictions,Voluntary,
"India's Union Minister of Health and Family Welfare, Dr. Harsh Vardhan reviewed the status of preparedness and actions taken so far in handling the situation arising out of the outbreak of COVID-19 on 21 February 2020 and was informed that the screening of passengers is being done at all 21 airports, 12 major and 65 non-major seaports, and border crossings.",2/21/20,India,External Border Restrictions,Mandatory,
"On 22 February 2020, India issued a travel advisory on Singapore and asked its citizens to avoid all non-essential travel. This was decided at a high level review meeting taken by Cabinet Secretary Rajiv Gauba on COVID-19. Four new countries were added to the list for screening at airports. After a detailed review, in addition to the universal screening as per earlier advisories, universal screening at airports was now being planned for flights from Kathmandu, Indonesia, Vietnam, and Malaysia.",2/22/20,India,External Border Restrictions,Mandatory,
The Indian embassy in South Korea issued an advisory on 24 February 2020 to its citizens urging them to reconsider non-essential travels to Daegu and Cheongdo county in Gyeongbuk in the wake of rising coronavirus cases in South Korea.,2/24/20,India,External Border Restrictions,Voluntary,
